,health,hb,hc
0,0.5665908413846463,0.3140526306913832,0.1193565279239707
1,0.47985725430232284,0.22834738960730497,0.29179535609037227
2,0.48982889864111956,0.20225703432044465,0.30791406703843616
3,0.47838814626571613,0.39701374724227484,0.1245981064920092
4,0.6210704983448783,0.27940373584047445,0.09952576581464749
5,0.5781329153896096,0.22255871849022119,0.19930836612016953
6,0.19742355013607082,0.6641655529228163,0.13841089694111275
7,0.6238759786131725,0.24311033283929334,0.13301368854753443
8,0.5997971928838787,0.2648492330813864,0.13535357403473516
9,0.48631380942265845,0.19321092379860855,0.32047526677873345
10,0.2703446416391883,0.5557335526696737,0.17392180569113783
11,0.6361539944827433,0.2585394870590786,0.10530651845817805
12,0.5875617598506157,0.19522537761179187,0.21721286253759278
13,0.4469402625389309,0.2131501378618678,0.3399095995992015
14,0.5693325392430821,0.33627469555151424,0.09439276520540402
15,0.6162603971345736,0.2827966903096165,0.10094291255581003
16,0.6225581959343727,0.2867992065708864,0.09064259749474089
17,0.5928199588675546,0.22172423119175705,0.18545580994068867
18,0.6135401534403141,0.27404679451457203,0.11241305204511388
19,0.44017011261397804,0.38326685575877484,0.17656303162724696
20,0.621157416987005,0.2240375930506135,0.15480498996238187
21,0.34266820747799387,0.3249093529400053,0.3324224395820005
22,0.6229959815651169,0.2924356740302307,0.08456834440465273
23,0.2960331478199215,0.5833806847078018,0.12058616747227653
24,0.461939433953342,0.18317539702579766,0.3548851690208604
25,0.5558351607613,0.3432192040368469,0.10094563520185329
26,0.619161495108687,0.2740442183164267,0.10679428657488618
27,0.6113653611186813,0.23146497741198002,0.15716966146933894
28,0.1820614441036815,0.14142277032967088,0.6765157855666473
29,0.5896488395428751,0.2865339684163932,0.12381719204073194
30,0.16457540786333363,0.5443292757249867,0.29109531641167985
31,0.13406981958675268,0.5269008714304086,0.3390293089828389
32,0.16794939294914385,0.23679707803028996,0.5952535290205662
33,0.33372196504466783,0.15916358266645003,0.507114452288882
34,0.14208703935563993,0.3543577891870322,0.5035551714573278
35,0.40452644672295723,0.4391500055933617,0.1563235476836808
36,0.4414895658176181,0.23188852287492717,0.3266219113074548
37,0.5909759790683029,0.28029117153511934,0.12873284939657786
38,0.6064626518352657,0.3031575585149082,0.09037978964982642
39,0.5961883376694544,0.31457221502626725,0.08923944730427849
40,0.5322330580613045,0.22505455043726144,0.24271239150143434
41,0.13658757534259575,0.34739635331679414,0.51601607134061
42,0.5846264563978152,0.3027755615430182,0.11259798205916681
43,0.5448314833385752,0.3097890908512878,0.14537942581013705
44,0.3549001122292601,0.520548706297862,0.12455118147287791
45,0.3595870693668753,0.17403045597949768,0.46638247465362714
46,0.48984228880795094,0.22909339932176095,0.28106431187028835
47,0.6045435184034231,0.27067722675895817,0.12477925483761888
48,0.5338313235362134,0.23085377351980607,0.23531490294398097
49,0.13770589092619911,0.6952307449971468,0.16706336407665368
50,0.15321263907088362,0.6173768127758766,0.22941054815323977
51,0.1880879719335502,0.5226932518622573,0.28921877620419256
52,0.15100684639060508,0.6928051604270193,0.1561879931823752
53,0.23204908531558155,0.615751674858788,0.1521992398256304
54,0.13966099823197603,0.6307421398718807,0.22959686189614334
55,0.16695403051917698,0.42018946440618093,0.41285650507464233
56,0.15483140779411383,0.6884805990235106,0.15668799318237522
57,0.1424278243981326,0.702385831563998,0.1551863440378689
58,0.14034952550121457,0.670453174160974,0.18919730033781124
59,0.14737037860011565,0.5663396566764798,0.2862899647234046
60,0.11620619007556537,0.3030188398904485,0.5807749700339861
61,0.14376767806288357,0.6551394163875929,0.20109290554952364
62,0.14445907439813258,0.7055926768020933,0.14994824879977367
63,0.1553259241026927,0.3942125396718476,0.4504615362254593
64,0.12580549025608062,0.611362959186724,0.2628315505571955
65,0.10424433123656113,0.21320870401506298,0.6825469647483757
66,0.13813625115600792,0.3259417841023457,0.5359219647416462
67,0.14879378344164934,0.2421330352001168,0.6090731813582337
68,0.1397251216954299,0.6996123437905102,0.16066253451405943
69,0.1360465495036797,0.6712186513378992,0.19273479915842107
70,0.11993498622860209,0.25185048356020673,0.6282145302111912
71,0.15586582295113593,0.1563688987649781,0.6877652782838857
72,0.13105196011515832,0.6375685220129279,0.23137951787191396
73,0.10022295547177114,0.2652291150005024,0.6345479295277265
74,0.5361917464387794,0.3614277351766686,0.10238051838455244
75,0.6019595803162393,0.3012734614212789,0.096766958262482
76,0.14630080526069592,0.5484962239818186,0.3052029707574858
77,0.4871777382590654,0.3016856284704591,0.2111366332704757
78,0.1424278243981326,0.702385831563998,0.1551863440378689
79,0.12799712780861358,0.5782688307243697,0.29373404146701704
80,0.5954815963632447,0.28685907126800364,0.1176593323687519
81,0.49554098918882195,0.19135137925979598,0.3131076315513821
82,0.30454117205962156,0.20300287037590517,0.49245595756447325
83,0.13195245565968514,0.4412150634887338,0.42683248085158126
84,0.44843885728930666,0.21616157626919377,0.33539956644149976
85,0.16531849938943913,0.13045490425001272,0.7042265963605477
86,0.1589489502220189,0.15720726370525895,0.6838437860727218
87,0.5899982629861812,0.20897147850406006,0.20103025850975917
88,0.11542246455514724,0.6192295314962736,0.26534800394857927
89,0.19467303668257568,0.1834845180283624,0.6218424452890621
90,0.13633361613453446,0.19392270223063623,0.6697436816348291
91,0.5989063777257837,0.2951600292516801,0.10593359302253617
92,0.050561034512995685,0.866099189258381,0.08333977622862307
93,0.3432309127184813,0.2208952017055691,0.43587388557594964
94,0.30143786177214843,0.21971457492292615,0.47884756330492545
